# Forum seed threads for grey-market tracking pain harvesting.
# forum-fixture.test URLs load HTML from testdata/forum/ (offline dev/CI).
# Live hosts (affiliatefix, BHW) need residential proxy - see docs/OPS.md.
url,notes
https://forum-fixture.test/threads/voluum-alternative-recommendations.1001/,voluum
https://forum-fixture.test/threads/keitaro-vs-binom-for-nutra.1002/,keitaro
https://forum-fixture.test/threads/postback-missing-conversions-issue.1003/,postback
https://forum-fixture.test/threads/self-hosted-tracker-docker-setup.1004/,postback
https://forum-fixture.test/threads/redtrack-pricing-increase-alternatives.1005/,redtrack
https://forum-fixture.test/threads/clickflare-review-and-migration.1006/,voluum
https://forum-fixture.test/threads/best-tracker-for-native-ads-2026.1007/,binom
https://forum-fixture.test/threads/cloaker-integration-with-voluum.1008/,voluum
https://forum-fixture.test/threads/s2s-postback-latency-troubleshooting.1009/,postback
https://forum-fixture.test/threads/budget-overspend-protection-in-trackers.1010/,binom
https://forum-fixture.test/threads/voluum-alternative-recommendations.1011/,voluum
https://forum-fixture.test/threads/keitaro-vs-binom-for-nutra.1012/,keitaro
https://forum-fixture.test/threads/postback-missing-conversions-issue.1013/,postback
https://forum-fixture.test/threads/self-hosted-tracker-docker-setup.1014/,postback
https://forum-fixture.test/threads/redtrack-pricing-increase-alternatives.1015/,redtrack
https://forum-fixture.test/threads/clickflare-review-and-migration.1016/,voluum
https://forum-fixture.test/threads/best-tracker-for-native-ads-2026.1017/,binom
https://forum-fixture.test/threads/cloaker-integration-with-voluum.1018/,voluum
https://forum-fixture.test/threads/s2s-postback-latency-troubleshooting.1019/,postback
https://forum-fixture.test/threads/budget-overspend-protection-in-trackers.1020/,binom
https://forum-fixture.test/threads/voluum-alternative-recommendations.1021/,voluum
https://forum-fixture.test/threads/keitaro-vs-binom-for-nutra.1022/,keitaro
https://forum-fixture.test/threads/postback-missing-conversions-issue.1023/,postback
https://forum-fixture.test/threads/self-hosted-tracker-docker-setup.1024/,postback
https://forum-fixture.test/threads/redtrack-pricing-increase-alternatives.1025/,redtrack
https://forum-fixture.test/threads/clickflare-review-and-migration.1026/,voluum
https://forum-fixture.test/threads/best-tracker-for-native-ads-2026.1027/,binom
https://forum-fixture.test/threads/cloaker-integration-with-voluum.1028/,voluum
https://forum-fixture.test/threads/s2s-postback-latency-troubleshooting.1029/,postback
https://forum-fixture.test/threads/budget-overspend-protection-in-trackers.1030/,binom
https://forum-fixture.test/threads/voluum-alternative-recommendations.1031/,voluum
https://forum-fixture.test/threads/keitaro-vs-binom-for-nutra.1032/,keitaro
https://forum-fixture.test/threads/postback-missing-conversions-issue.1033/,postback
https://forum-fixture.test/threads/self-hosted-tracker-docker-setup.1034/,postback
https://forum-fixture.test/threads/redtrack-pricing-increase-alternatives.1035/,redtrack
https://forum-fixture.test/threads/clickflare-review-and-migration.1036/,voluum
https://forum-fixture.test/threads/best-tracker-for-native-ads-2026.1037/,binom
https://forum-fixture.test/threads/cloaker-integration-with-voluum.1038/,voluum
https://forum-fixture.test/threads/s2s-postback-latency-troubleshooting.1039/,postback
https://forum-fixture.test/threads/budget-overspend-protection-in-trackers.1040/,binom
https://forum-fixture.test/threads/voluum-alternative-recommendations.1041/,voluum
https://forum-fixture.test/threads/keitaro-vs-binom-for-nutra.1042/,keitaro
https://forum-fixture.test/threads/postback-missing-conversions-issue.1043/,postback
https://forum-fixture.test/threads/self-hosted-tracker-docker-setup.1044/,postback
https://forum-fixture.test/threads/redtrack-pricing-increase-alternatives.1045/,redtrack
https://forum-fixture.test/threads/clickflare-review-and-migration.1046/,voluum
https://forum-fixture.test/threads/best-tracker-for-native-ads-2026.1047/,binom
https://forum-fixture.test/threads/cloaker-integration-with-voluum.1048/,voluum
https://forum-fixture.test/threads/s2s-postback-latency-troubleshooting.1049/,postback
https://forum-fixture.test/threads/budget-overspend-protection-in-trackers.1050/,binom
