domain,geo,notes
casino-aff.example,global,seed
igaming-hub.example,eu,seed
affiliate-latam.example,latam,seed
nutra-landers.example,global,seed
push-feed.example,global,seed
cpa-network.example,eu,seed
sweeps-offers.example,global,seed
media-buy-tools.example,global,seed
tracker-compare.example,eu,seed
pop-traffic.example,global,seed
dating-aff.example,eu,seed
crypto-funnel.example,global,seed
igaming-ops.example,latam,seed
affiliate-stack.example,global,seed
ad-network-seed.example,global,seed
lander-crawl.example,global,seed
nutra-global.example,global,seed
sweepstakes-en.example,global,seed
igaming-uk.example,uk,seed
affiliate-ca.example,ca,seed
traffic-latam.example,latam,seed
cpa-eu-hub.example,eu,seed
